GL_Account_Code,Description,Total_Balance,Entry_Line_Date,Credit_Amount,Running_Balance,gl_account_code,gl_account_description,gl_supplier_key,gl_credit_amount,gl_entry_line_date,gl_entry_period_month
01-85137,Supplier14 L810 Claimbacks,9328.19,2026-06-29 00:00:00,1746.46,5811.16,01-85137,Supplier14 L810 Claimbacks,SUPPLIER14,1746.46,,Unknown
01-85137,Supplier14 L810 Claimbacks,9328.19,2026-07-08 00:00:00,827.02,6638.18,01-85137,Supplier14 L810 Claimbacks,SUPPLIER14,827.02,2026-08-07,2026-08
01-85137,Supplier14 L810 Claimbacks,9328.19,2026-07-08 00:00:00,1175.24,7813.42,01-85137,Supplier14 L810 Claimbacks,SUPPLIER14,1175.24,2026-08-07,2026-08
01-85137,Supplier14 L810 Claimbacks,9328.19,2026-07-20 00:00:00,280.26,8093.68,01-85137,Supplier14 L810 Claimbacks,SUPPLIER14,280.26,,Unknown
01-85137,Supplier14 L810 Claimbacks,9328.19,2026-07-20 00:00:00,1234.51,9328.19,01-85137,Supplier14 L810 Claimbacks,SUPPLIER14,1234.51,,Unknown
01-85151,Supplier22 N023 Claimbacks,276.94,2026-05-01 00:00:00,46.17,46.17,01-85151,Supplier22 N023 Claimbacks,SUPPLIER22,46.17,2026-01-05,2026-01
01-85151,Supplier22 N023 Claimbacks,276.94,2026-05-27 00:00:00,124.98,171.15,01-85151,Supplier22 N023 Claimbacks,SUPPLIER22,124.98,,Unknown
01-85151,Supplier22 N023 Claimbacks,276.94,2026-06-22 00:00:00,105.79,276.94,01-85151,Supplier22 N023 Claimbacks,SUPPLIER22,105.79,,Unknown
01-85183,Supplier1 U106 Claimbacks,3744.41,2026-02-23 00:00:00,3744.41,3744.41,01-85183,Supplier1 U106 Claimbacks,SUPPLIER1,3744.41,,Unknown
01-85185,Supplier21 E907 Claimbacks,34587,2026-03-25 00:00:00,200,200,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,200.0,,Unknown
01-85185,Supplier21 E907 Claimbacks,34587,2026-03-25 00:00:00,650,850,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,650.0,,Unknown
01-85185,Supplier21 E907 Claimbacks,34587,2026-04-02 00:00:00,3276,4126,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,3276.0,2026-02-04,2026-02
01-85185,Supplier21 E907 Claimbacks,34587,2026-04-08 00:00:00,200,4326,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,200.0,2026-08-04,2026-08
01-85185,Supplier21 E907 Claimbacks,34587,2026-04-08 00:00:00,195,4521,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,195.0,2026-08-04,2026-08
01-85185,Supplier21 E907 Claimbacks,34587,2026-04-16 00:00:00,300,4821,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,300.0,,Unknown
01-85185,Supplier21 E907 Claimbacks,34587,2026-05-14 00:00:00,10665,15486,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,10665.0,,Unknown
01-85185,Supplier21 E907 Claimbacks,34587,2026-07-01 00:00:00,1000,16486,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,1000.0,2026-01-07,2026-01
01-85185,Supplier21 E907 Claimbacks,34587,2026-07-16 00:00:00,5375,21861,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,5375.0,,Unknown
01-85185,Supplier21 E907 Claimbacks,34587,2026-08-03 00:00:00,12726,34587,01-85185,Supplier21 E907 Claimbacks,SUPPLIER21,12726.0,2026-03-08,2026-03
